                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80438,                0.81622,                   1.15,                0.97021,                0.84818,                0.95163,                0.79557,                0.63151,                0.49841,                  1.077,             0.00049529,             0.00049529,             0.00049529
                     35,                0.78137,                0.81111,                 1.1468,                0.90308,                 0.9068,                0.95863,                0.80214,                0.64924,                0.50551,                 1.0747,               0.000467,               0.000467,               0.000467
                     36,                0.79203,                0.79314,                 1.1498,                0.94895,                0.84903,                0.95881,                0.80256,                0.61671,                0.52071,                 1.0626,              0.0004387,              0.0004387,              0.0004387
                     37,                0.77638,                0.75411,                 1.1313,                0.92269,                0.95285,                0.97951,                0.81792,                0.60645,                0.47821,                 1.0494,             0.00041041,             0.00041041,             0.00041041
                     38,                0.76528,                0.77201,                 1.1355,                0.96321,                0.92704,                 0.9879,                0.82698,                0.59799,                0.44008,                 1.0516,             0.00038211,             0.00038211,             0.00038211
                     39,                0.74513,                0.72894,                 1.1165,                0.93365,                0.89589,                0.97402,                 0.8371,                0.56508,                0.43845,                 1.0287,             0.00035382,             0.00035382,             0.00035382
                     40,                0.74278,                 0.7313,                 1.1191,                0.94159,                0.96265,                0.99012,                 0.8565,                0.57692,                0.42679,                 1.0187,             0.00032553,             0.00032553,             0.00032553
                     41,                0.74805,                0.71228,                 1.1225,                0.94429,                0.94582,                0.98015,                0.82893,                0.57906,                 0.4306,                 1.0129,             0.00029723,             0.00029723,             0.00029723
                     42,                0.73086,                0.70419,                 1.1037,                 0.9496,                0.94892,                0.98465,                0.86303,                0.54417,                0.41124,                 1.0015,             0.00026894,             0.00026894,             0.00026894
                     43,                0.71511,                0.69416,                 1.1021,                 0.9638,                0.93643,                0.98334,                0.86156,                0.52906,                0.40518,                0.99798,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.7168,                0.67756,                 1.1052,                0.94346,                0.93324,                0.97229,                0.84127,                0.54813,                0.42527,                 1.0052,             0.00021235,             0.00021235,             0.00021235
                     45,                 0.7137,                0.68338,                 1.1051,                 0.9355,                0.93563,                0.97545,                0.84442,                0.53816,                0.41375,                0.99814,             0.00018406,             0.00018406,             0.00018406
                     46,                0.70827,                0.65515,                 1.0999,                0.94435,                0.92439,                0.97308,                0.85707,                0.52411,                0.39115,                0.99155,             0.00015576,             0.00015576,             0.00015576
                     47,                 0.6906,                0.64907,                   1.09,                0.95019,                0.93732,                0.98073,                0.86947,                0.50083,                0.39109,                0.97747,             0.00012747,             0.00012747,             0.00012747
                     48,                0.70937,                0.64902,                 1.0952,                0.95914,                0.93324,                0.97684,                0.86563,                0.51251,                0.38747,                0.98085,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.67897,                0.64855,                  1.093,                0.96747,                0.91787,                0.98269,                0.86476,                0.51867,                0.39063,                 0.9825,             7.0878e-05,             7.0878e-05,             7.0878e-05
